,0
0,351.5766602
1,363.0033264
2,365.4599915
3,379.019989
4,385.6233215
5,369.6766663
6,372.0
7,360.6400146
8,378.9966736
9,381.5866699
10,365.0
11,361.5333252
12,338.3233337
13,336.3366699
14,350.5833435
15,356.3200073
16,334.6000061
17,339.0100098
18,322.1366577
19,319.5033264
20,325.3299866
21,308.9733276
22,310.8566589
23,299.980011
24,312.8433228
25,336.2900085
26,355.6666565
27,364.6466675
28,362.8233337
29,362.063324
30,356.7799988
31,352.2600098
32,399.9266663
33,383.1966553
34,362.706665
35,354.8999939
36,342.3200073
37,352.706665
38,354.7999878
39,368.7399902
40,343.8533325
41,349.8699951
42,343.5033264
43,331.8833313
44,332.0899963
45,314.6333313
46,310.0
47,306.1333313
48,312.4700012
49,276.3666687
50,282.1166687
51,312.2399902
52,310.4166565
53,301.8866577
54,297.0466614
55,307.7733459
56,302.4466553
57,307.3333435
58,310.6666565
59,301.5166626
60,286.6666565
61,291.9200134
62,307.4766541
63,307.7966614
64,292.1166687
65,285.6600037
66,273.8433228
67,254.6799927
68,266.9233398
69,269.956665
70,290.1433411
71,288.1233215
72,293.2966614
73,279.7633362
74,279.4299927
75,268.1933289
76,274.7999878
77,286.3233337
78,279.4333191
79,265.1166687
80,255.456665
81,267.2966614
82,280.0766602
83,290.5333252
84,301.7966614
85,307.0533447
86,331.3266602
87,333.0366821
88,337.9733276
89,336.8800049
90,363.9466553
91,366.5233459
92,364.6633301
93,359.2000122
94,361.5299988
95,381.8166809
96,363.7533264
97,348.5866699
98,352.4200134
99,341.8299866
100,325.3099976
101,328.9833374
102,340.7900085
103,328.3333435
104,334.7633362
105,342.7166748
106,325.7333374
107,336.2600098
108,335.0166626
109,332.6733398
110,292.1400146
111,293.8366699
112,292.5033264
113,290.2533264
114,300.980011
115,303.0833435
116,317.5400085
117,291.0933228
118,288.5499878
119,262.3699951
120,266.6799927
121,244.6666718
122,242.6666718
123,256.5299988
124,241.456665
125,253.8699951
126,236.6033325
127,236.4733276
128,221.3000031
129,224.9666595
130,209.386673
131,219.6000061
132,235.9100037
133,253.2100067
134,252.7533264
135,246.7899933
136,258.3333435
137,234.5166626
138,238.2799988
139,238.886673
140,241.8666687
141,239.706665
142,232.2299957
143,215.7366638
144,220.8899994
145,233.0
146,213.1000061
147,216.7599945
148,237.0366669
149,236.0866699
150,235.0700073
151,245.706665
152,244.9199982
153,232.6633301
154,228.4900055
155,224.4733276
156,227.2633362
157,233.0666656
158,231.7333374
159,244.543335
160,250.7633362
161,234.343338
162,233.0700073
163,237.0399933
164,238.3133392
165,240.0666656
166,240.5466614
167,245.5299988
168,247.5
169,271.706665
170,272.2433472
171,268.4333191
172,258.8599854
173,274.8200073
174,280.8999939
175,297.1499939
176,297.2766724
177,300.5866699
178,307.3966675
179,308.6333313
180,288.1700134
181,290.4233398
182,283.3333435
183,294.3566589
184,286.6300049
185,300.0299988
186,309.3200073
187,306.563324
188,303.9966736
189,302.8699951
190,296.6666565
191,289.9133301
192,296.4533386
193,297.0966797
194,296.0700073
195,288.0899963
196,284.8200073
197,277.7000122
198,275.6099854
199,277.1600037
200,270.2099915
201,274.4200134
202,283.7000122
203,289.2600098
204,299.6799927
205,304.4200134
206,292.1300049
207,302.6099854
208,303.75
209,303.3500061
210,309.0700073
211,308.730011
212,300.7999878
213,288.5899963
214,275.3299866
215,276.0100098
216,282.9400024
217,287.8099976
218,268.2099915
219,265.25
220,242.3999939
221,249.4400024
222,240.8099976
223,238.1300049
224,223.0700073
225,222.9600067
226,216.5
227,217.2400055
228,221.7200012
229,204.9900055
230,219.3500061
231,220.1900024
232,222.0399933
233,207.2799988
234,214.4400024
235,211.25
236,222.4199982
237,224.6399994
238,225.0899963
239,228.5200043
240,227.5399933
241,227.8200073
242,214.9799957
243,215.3099976
244,207.4700012
245,197.0800018
246,191.3000031
247,177.5899963
248,190.7200012
249,195.9700012
250,190.9499969
251,194.4199982
252,186.9199982
253,183.1699982
254,180.1900024
255,167.8699951
256,169.9100037
257,183.1999969
258,182.8600006
259,182.9199982
260,180.8300018
261,194.6999969
262,194.6999969
263,194.8600006
264,182.4499969
265,179.8200073
266,174.0399933
267,173.4400024
268,179.0500031
269,167.8200073
270,160.9499969
271,156.8000031
272,157.6699982
273,150.2299957
274,149.8699951
275,137.8000031
276,137.5700073
277,125.3499985
278,123.1500015
279,109.0999985
280,112.7099991
281,121.8199997
282,123.1800003
283,108.0999985
284,113.6399994
285,110.3399963
286,113.0599976
287,119.7699966
288,118.8499985
289,123.2200012
290,123.5599976
291,122.4000015
292,131.4900055
293,128.7799988
294,127.1699982
295,133.4199982
296,143.75
297,143.8899994
298,144.4299927
299,160.2700043
300,177.8999939
301,166.6600037
302,173.2200012
303,181.4100037
304,188.2700043
305,189.9799957
306,194.7599945
307,196.8099976
308,201.2899933
309,207.3200073
310,196.8899994
311,194.6399994
312,209.25
313,214.2400055
314,202.0399933
315,208.3099976
316,197.3699951
317,200.8600006
318,202.0700073
319,196.8800049
320,207.6300049
321,205.7100067
322,202.7700043
323,190.8999939
324,197.7899933
325,193.8099976
326,187.7100067
327,182.0
328,172.9199982
329,173.4400024
330,174.4799957
331,183.2599945
332,180.4499969
333,184.1300049
334,180.1300049
335,183.25
336,197.5800018
