,0
0,188.38152
1,186.96497
2,184.16078
3,185.91197
4,186.72491
5,190.87236
6,193.41757
7,196.76437
8,200.43239
9,201.648
10,201.76006
11,198.84882
12,192.04042
13,191.50545
14,192.92615
15,193.81613
16,193.59314
17,195.00742
18,195.98225
19,197.61853
20,195.91754
21,195.32715
22,196.83551
23,198.93399
24,199.82368
25,200.5809
26,205.79443
27,212.66867
28,215.49014
29,218.9906
30,219.73059
31,219.55292
32,218.98552
33,218.69868
34,215.67441
35,211.43939
36,210.12772
37,210.39223
38,215.03206
39,215.65765
40,213.31012
41,211.21222
42,209.10994
43,208.23694
44,210.0327
45,210.63103
46,209.95897
47,208.56723
48,209.79747
49,208.91722
50,208.50435
51,212.8113
52,217.25163
53,223.06055
54,226.41278
55,228.08334
56,229.26186
57,227.45346
58,228.19887
59,228.29042
60,227.91754
61,229.7789
62,230.2994
63,225.82515
64,219.72327
65,219.56726
66,217.93187
67,217.92647
68,222.03094
69,225.1699
70,227.22247
71,226.72357
72,227.70163
73,231.18396
74,234.07957
75,235.33566
76,235.53903
77,235.64658
78,238.5187
79,240.51634
80,241.63615
81,239.34526
82,238.65927
83,238.6453
84,240.39247
85,241.72711
86,242.78854
87,238.96155
88,237.65984
89,239.07584
90,240.43
91,244.28137
92,249.20605
93,249.9431
94,250.40909
95,249.69218
96,249.07202
97,249.64182
98,249.92184
99,250.35828
100,252.22617
101,252.18034
102,252.90144
103,255.41347
104,257.75885
105,260.0824
106,265.00595
107,271.95822
108,274.99454
109,276.3935
110,281.1012
111,286.2106
112,306.18628
113,317.1366
114,324.95346
115,334.49786
116,344.95978
117,364.47546
118,369.51318
119,377.17752
120,383.4549
121,385.1418
122,376.55518
123,350.10394
124,341.4343
125,337.5322
126,331.44336
127,325.2497
128,328.38635
129,336.16293
130,341.8975
131,350.97495
132,358.96512
133,355.76974
134,354.2476
135,348.2982
136,353.0507
137,357.48685
138,352.26562
139,347.25745
140,334.0803
141,325.56723
142,327.92307
143,332.80246
144,325.90155
145,323.41815
146,314.87555
147,308.68295
148,308.294
149,301.32312
150,297.99826
151,291.75195
152,294.0459
153,306.77856
154,323.37808
155,336.5838
156,342.35928
157,344.29617
158,342.3919
159,338.82507
160,358.14578
161,362.31836
162,354.07498
163,345.21414
164,334.63806
165,333.53845
166,334.71494
167,341.93246
168,335.0223
169,333.0735
170,329.56262
171,322.3366
172,318.3361
173,308.64557
174,300.9844
175,295.43054
176,295.65726
177,280.1839
178,273.1111
179,283.7889
180,290.68878
181,290.37845
182,287.42554
183,290.3864
184,290.10944
185,291.8581
186,294.47885
187,291.82104
188,283.1835
189,280.28073
190,286.2757
191,290.58072
192,285.73172
193,279.36374
194,270.42145
195,256.7097
196,254.26657
197,255.64636
198,266.0695
199,271.93167
200,277.06216
201,273.64313
202,270.7158
203,264.0292
204,262.92224
205,268.082
206,268.48987
207,261.85278
208,253.1863
209,253.5152
210,260.45062
211,269.72827
212,280.12805
213,288.19315
214,303.13177
215,312.3431
216,318.76544
217,321.19418
218,334.1044
219,342.71204
220,345.85422
221,344.40796
222,344.1312
223,353.05878
224,350.12567
225,340.76462
226,336.97842
227,330.55695
228,319.48328
229,314.9347
230,318.5131
231,315.62766
232,316.6099
233,321.15167
234,316.23676
235,317.6299
236,318.35352
237,317.63745
238,298.79532
239,287.86935
240,282.1372
241,278.68536
242,282.0967
243,285.76624
244,294.44437
245,287.70297
246,281.52515
247,266.40237
248,259.2069
249,246.31757
250,237.92
251,240.18843
252,236.15744
253,239.01949
254,233.81456
255,230.10617
256,221.54335
257,217.93079
258,209.70732
259,209.21284
260,217.2561
261,230.60904
262,238.47974
263,239.5065
264,244.32777
265,236.58754
266,232.47975
267,230.78607
268,231.4437
269,231.15393
270,227.59972
271,217.95473
272,214.17603
273,218.20384
274,212.66908
275,210.18195
276,218.19666
277,223.57828
278,225.85278
279,231.45374
280,234.50641
281,230.35565
282,225.28815
283,220.49928
284,219.08775
285,221.32233
286,222.47423
287,228.73886
288,235.59064
289,232.09198
290,228.36783
291,227.94806
292,228.62788
293,229.92123
294,230.93506
295,233.68568
296,236.26895
297,248.4552
298,256.39377
299,258.49228
300,254.59116
301,258.7955
302,264.5508
303,275.07013
304,281.22223
305,285.49542
306,290.52408
307,293.68463
308,285.81647
309,281.41064
310,276.05704
311,277.99863
312,276.33606
313,281.18185
314,288.66647
315,291.72284
316,291.7723
317,290.93387
318,287.51627
319,282.3271
320,282.26837
321,283.04025
322,283.1253
323,279.55347
324,275.82004
325,270.595
326,266.70908
327,265.49338
328,262.076
329,261.97522
330,266.51328
331,272.03278
332,279.85577
333,286.42926
334,284.2413
335,286.8374
336,289.08252
337,289.99042
338,292.86227
339,294.37006
340,291.41766
341,283.85184
342,273.30655
343,267.5844
344,268.14243
345,271.41867
346,264.79904
347,258.97894
348,245.69067
349,240.80898
350,235.32962
351,231.24089
352,222.62573
353,217.44693
354,212.27176
355,209.89386
356,211.0627
357,204.89948
358,207.01704
359,209.6863
360,212.15083
361,207.00764
362,206.36938
363,205.14919
364,209.35703
365,213.39159
366,215.83743
367,218.50468
368,219.52318
369,219.95409
370,214.36348
371,210.62468
372,205.26952
373,197.52325
374,190.39468
375,180.54643
376,180.48434
377,184.23743
378,184.84471
379,186.4172
380,184.18614
381,180.80066
382,177.42725
383,170.16386
384,166.4336
385,170.64832
386,174.11015
387,176.09238
388,176.12791
389,181.92636
390,185.95082
391,188.0243
392,183.42561
393,178.7187
394,173.44838
395,170.11615
396,170.97937
397,167.23982
398,161.57872
399,156.33118
400,153.82733
401,149.67174
402,146.99866
403,140.58636
404,136.33125
405,129.06749
406,123.56922
407,114.80695
408,110.82229
409,113.24071
410,116.42504
411,112.15323
412,110.85915
413,109.20664
414,109.36285
415,112.61512
416,114.66622
417,117.53857
418,119.47367
419,119.9301
420,123.77505
421,125.350624
422,125.19163
423,127.43415
424,133.47488
425,137.58705
426,139.8583
427,147.62044
428,160.44334
429,163.51848
430,166.62846
431,171.77806
432,177.823
433,181.98338
434,186.04362
435,189.08087
436,192.49489
437,196.99596
438,194.95958
439,191.89381
440,196.35495
441,201.9924
442,199.89937
443,200.4812
444,196.25346
445,194.76833
446,194.80026
447,192.75337
448,196.09364
449,197.84296
450,197.3523
451,191.56093
452,190.62189
453,188.97484
454,185.32336
455,180.54428
456,173.77194
457,169.94826
458,168.72264
459,172.3292
460,173.92825
461,176.2458
462,175.92711
463,176.74298
464,183.5999
465,185.44572
466,186.27124
467,185.73602
468,185.79967
469,184.71597
470,185.98004
471,187.60332
472,193.91324
473,192.46841
474,189.67462
475,184.76184
476,181.47237
477,179.59624
478,179.77333
479,177.4828
480,178.25523
481,178.7538
482,179.93246
483,179.51707
484,177.44925
485,168.37808
486,163.16646
487,159.66565
488,157.1914
489,153.04475
490,153.31319
491,155.98279
492,156.8724
493,156.5223
494,156.28407
495,156.41522
496,160.37907
497,163.94382
498,164.7665
499,164.54817
500,165.7583
501,164.82176
502,163.25261
503,162.31711
504,165.05164
505,168.45622
506,171.91322
507,177.676
508,179.85104
509,179.27919
510,179.1805
511,182.91391
512,188.99582
513,193.91447
514,198.04964
515,203.01808
516,207.40056
517,211.29677
518,214.73149
519,221.02884
520,228.99026
521,235.88776
522,243.39151
523,246.55457
524,247.23938
525,249.23775
526,256.54968
527,254.27869
528,254.24594
529,250.76942
530,241.47589
531,239.7762
532,242.40736
