,ds
0,2019-09-09
1,2019-09-10
2,2019-09-11
3,2019-09-12
4,2019-09-13
5,2019-09-16
6,2019-09-17
7,2019-09-18
8,2019-09-19
9,2019-09-20
10,2019-09-23
11,2019-09-24
12,2019-09-25
13,2019-09-26
14,2019-09-27
15,2019-09-30
16,2019-10-01
17,2019-10-02
18,2019-10-03
19,2019-10-04
20,2019-10-07
21,2019-10-08
22,2019-10-09
23,2019-10-10
24,2019-10-11
25,2019-10-14
26,2019-10-15
27,2019-10-16
28,2019-10-17
29,2019-10-18
30,2019-10-21
31,2019-10-22
32,2019-10-23
33,2019-10-24
34,2019-10-25
35,2019-10-28
36,2019-10-29
37,2019-10-30
38,2019-10-31
39,2019-11-01
40,2019-11-04
41,2019-11-05
42,2019-11-06
43,2019-11-07
44,2019-11-08
45,2019-11-11
46,2019-11-12
47,2019-11-13
48,2019-11-14
49,2019-11-15
50,2019-11-18
51,2019-11-19
52,2019-11-20
53,2019-11-21
54,2019-11-22
55,2019-11-25
56,2019-11-26
57,2019-11-27
58,2019-11-29
59,2019-12-02
60,2019-12-03
61,2019-12-04
62,2019-12-05
63,2019-12-06
64,2019-12-09
65,2019-12-10
66,2019-12-11
67,2019-12-12
68,2019-12-13
69,2019-12-16
70,2019-12-17
71,2019-12-18
72,2019-12-19
73,2019-12-20
74,2019-12-23
75,2019-12-24
76,2019-12-26
77,2019-12-27
78,2019-12-30
79,2019-12-31
80,2020-01-02
81,2020-01-03
82,2020-01-06
83,2020-01-07
84,2020-01-08
85,2020-01-09
86,2020-01-10
87,2020-01-13
88,2020-01-14
89,2020-01-15
90,2020-01-16
91,2020-01-17
92,2020-01-21
93,2020-01-22
94,2020-01-23
95,2020-01-24
96,2020-01-27
97,2020-01-28
98,2020-01-29
99,2020-01-30
100,2020-01-31
101,2020-02-03
102,2020-02-04
103,2020-02-05
104,2020-02-06
105,2020-02-07
106,2020-02-10
107,2020-02-11
108,2020-02-12
109,2020-02-13
110,2020-02-14
111,2020-02-18
112,2020-02-19
113,2020-02-20
114,2020-02-21
115,2020-02-24
116,2020-02-25
117,2020-02-26
118,2020-02-27
119,2020-02-28
120,2020-03-02
121,2020-03-03
122,2020-03-04
123,2020-03-05
124,2020-03-06
125,2020-03-09
126,2020-03-10
127,2020-03-11
128,2020-03-12
129,2020-03-13
130,2020-03-16
131,2020-03-17
132,2020-03-18
133,2020-03-19
134,2020-03-20
135,2020-03-23
136,2020-03-24
137,2020-03-25
138,2020-03-26
139,2020-03-27
140,2020-03-30
141,2020-03-31
142,2020-04-01
143,2020-04-02
144,2020-04-03
145,2020-04-06
146,2020-04-07
147,2020-04-08
148,2020-04-09
149,2020-04-13
150,2020-04-14
151,2020-04-15
152,2020-04-16
153,2020-04-17
154,2020-04-20
155,2020-04-21
156,2020-04-22
157,2020-04-23
158,2020-04-24
159,2020-04-27
160,2020-04-28
161,2020-04-29
162,2020-04-30
163,2020-05-01
164,2020-05-04
165,2020-05-05
166,2020-05-06
167,2020-05-07
168,2020-05-08
169,2020-05-11
170,2020-05-12
171,2020-05-13
172,2020-05-14
173,2020-05-15
174,2020-05-18
175,2020-05-19
176,2020-05-20
177,2020-05-21
178,2020-05-22
179,2020-05-26
180,2020-05-27
181,2020-05-28
182,2020-05-29
183,2020-06-01
184,2020-06-02
185,2020-06-03
186,2020-06-04
187,2020-06-05
188,2020-06-08
189,2020-06-09
190,2020-06-10
191,2020-06-11
192,2020-06-12
193,2020-06-15
194,2020-06-16
195,2020-06-17
196,2020-06-18
197,2020-06-19
198,2020-06-22
199,2020-06-23
200,2020-06-24
201,2020-06-25
202,2020-06-26
203,2020-06-29
204,2020-06-30
205,2020-07-01
206,2020-07-02
207,2020-07-06
208,2020-07-07
209,2020-07-08
210,2020-07-09
211,2020-07-10
212,2020-07-13
213,2020-07-14
214,2020-07-15
215,2020-07-16
216,2020-07-17
217,2020-07-20
218,2020-07-21
219,2020-07-22
220,2020-07-23
221,2020-07-24
222,2020-07-27
223,2020-07-28
224,2020-07-29
225,2020-07-30
226,2020-07-31
227,2020-08-03
228,2020-08-04
229,2020-08-05
230,2020-08-06
231,2020-08-07
232,2020-08-10
233,2020-08-11
234,2020-08-12
235,2020-08-13
236,2020-08-14
237,2020-08-17
238,2020-08-18
239,2020-08-19
240,2020-08-20
241,2020-08-21
242,2020-08-24
243,2020-08-25
244,2020-08-26
245,2020-08-27
246,2020-08-28
247,2020-08-31
248,2020-09-01
249,2020-09-02
250,2020-09-03
251,2020-09-04
252,2020-09-08
253,2020-09-09
254,2020-09-10
255,2020-09-11
256,2020-09-14
257,2020-09-15
258,2020-09-16
259,2020-09-17
260,2020-09-18
261,2020-09-21
262,2020-09-22
263,2020-09-23
264,2020-09-24
265,2020-09-25
266,2020-09-28
267,2020-09-29
268,2020-09-30
269,2020-10-01
270,2020-10-02
271,2020-10-05
272,2020-10-06
273,2020-10-07
274,2020-10-08
275,2020-10-09
276,2020-10-12
277,2020-10-13
278,2020-10-14
279,2020-10-15
280,2020-10-16
281,2020-10-19
282,2020-10-20
283,2020-10-21
284,2020-10-22
285,2020-10-23
286,2020-10-26
287,2020-10-27
288,2020-10-28
289,2020-10-29
290,2020-10-30
291,2020-11-02
292,2020-11-03
293,2020-11-04
294,2020-11-05
295,2020-11-06
296,2020-11-09
297,2020-11-10
298,2020-11-11
299,2020-11-12
300,2020-11-13
301,2020-11-16
302,2020-11-17
303,2020-11-18
304,2020-11-19
305,2020-11-20
306,2020-11-23
307,2020-11-24
308,2020-11-25
309,2020-11-27
310,2020-11-30
311,2020-12-01
312,2020-12-02
313,2020-12-03
314,2020-12-04
315,2020-12-07
316,2020-12-08
317,2020-12-09
318,2020-12-10
319,2020-12-11
320,2020-12-14
321,2020-12-15
322,2020-12-16
323,2020-12-17
324,2020-12-18
325,2020-12-21
326,2020-12-22
327,2020-12-23
328,2020-12-24
329,2020-12-28
330,2020-12-29
331,2020-12-30
332,2020-12-31
333,2021-01-04
334,2021-01-05
335,2021-01-06
336,2021-01-07
337,2021-01-08
338,2021-01-11
339,2021-01-12
340,2021-01-13
341,2021-01-14
342,2021-01-15
343,2021-01-19
344,2021-01-20
345,2021-01-21
346,2021-01-22
347,2021-01-25
348,2021-01-26
349,2021-01-27
350,2021-01-28
351,2021-01-29
352,2021-02-01
353,2021-02-02
354,2021-02-03
355,2021-02-04
356,2021-02-05
357,2021-02-08
358,2021-02-09
359,2021-02-10
360,2021-02-11
361,2021-02-12
362,2021-02-16
363,2021-02-17
364,2021-02-18
365,2021-02-19
366,2021-02-22
367,2021-02-23
368,2021-02-24
369,2021-02-25
370,2021-02-26
371,2021-03-01
372,2021-03-02
373,2021-03-03
374,2021-03-04
375,2021-03-05
376,2021-03-08
377,2021-03-09
378,2021-03-10
379,2021-03-11
380,2021-03-12
381,2021-03-15
382,2021-03-16
383,2021-03-17
384,2021-03-18
385,2021-03-19
386,2021-03-22
387,2021-03-23
388,2021-03-24
389,2021-03-25
390,2021-03-26
391,2021-03-29
392,2021-03-30
393,2021-03-31
394,2021-04-01
395,2021-04-05
396,2021-04-06
397,2021-04-07
398,2021-04-08
399,2021-04-09
400,2021-04-12
401,2021-04-13
402,2021-04-14
403,2021-04-15
404,2021-04-16
405,2021-04-19
406,2021-04-20
407,2021-04-21
408,2021-04-22
409,2021-04-23
410,2021-04-26
411,2021-04-27
412,2021-04-28
413,2021-04-29
414,2021-04-30
415,2021-05-03
416,2021-05-04
417,2021-05-05
418,2021-05-06
419,2021-05-07
420,2021-05-10
421,2021-05-11
422,2021-05-12
423,2021-05-13
424,2021-05-14
425,2021-05-17
426,2021-05-18
427,2021-05-19
428,2021-05-20
429,2021-05-21
430,2021-05-24
431,2021-05-25
432,2021-05-26
433,2021-05-27
434,2021-05-28
435,2021-06-01
436,2021-06-02
437,2021-06-03
438,2021-06-04
439,2021-06-07
440,2021-06-08
441,2021-06-09
442,2021-06-10
443,2021-06-11
444,2021-06-14
445,2021-06-15
446,2021-06-16
447,2021-06-17
448,2021-06-18
449,2021-06-21
450,2021-06-22
451,2021-06-23
452,2021-06-24
453,2021-06-25
454,2021-06-28
455,2021-06-29
456,2021-06-30
457,2021-07-01
458,2021-07-02
459,2021-07-06
460,2021-07-07
461,2021-07-08
462,2021-07-09
463,2021-07-12
464,2021-07-13
465,2021-07-14
466,2021-07-15
467,2021-07-16
468,2021-07-19
469,2021-07-20
470,2021-07-21
471,2021-07-22
472,2021-07-23
473,2021-07-26
474,2021-07-27
475,2021-07-28
476,2021-07-29
477,2021-07-30
478,2021-08-02
479,2021-08-03
480,2021-08-04
481,2021-08-05
482,2021-08-06
483,2021-08-09
484,2021-08-10
485,2021-08-11
486,2021-08-12
487,2021-08-13
488,2021-08-16
489,2021-08-17
490,2021-08-18
491,2021-08-19
492,2021-08-20
493,2021-08-23
494,2021-08-24
495,2021-08-25
496,2021-08-26
497,2021-08-27
498,2021-08-30
499,2021-08-31
500,2021-09-01
501,2021-09-02
502,2021-09-03
503,2021-09-07
504,2021-09-08
505,2021-09-09
506,2021-09-10
507,2021-09-13
508,2021-09-14
509,2021-09-15
510,2021-09-16
511,2021-09-17
512,2021-09-20
513,2021-09-21
514,2021-09-22
515,2021-09-23
516,2021-09-24
517,2021-09-27
518,2021-09-28
519,2021-09-29
520,2021-09-30
521,2021-10-01
522,2021-10-04
523,2021-10-05
524,2021-10-06
525,2021-10-07
526,2021-10-08
527,2021-10-11
528,2021-10-12
529,2021-10-13
530,2021-10-14
531,2021-10-15
532,2021-10-18
533,2021-10-19
534,2021-10-20
535,2021-10-21
536,2021-10-22
537,2021-10-25
538,2021-10-26
539,2021-10-27
540,2021-10-28
541,2021-10-29
542,2021-11-01
543,2021-11-02
544,2021-11-03
545,2021-11-04
546,2021-11-05
547,2021-11-08
548,2021-11-09
549,2021-11-10
550,2021-11-11
551,2021-11-12
552,2021-11-15
553,2021-11-16
554,2021-11-17
555,2021-11-18
556,2021-11-19
557,2021-11-22
558,2021-11-23
559,2021-11-24
560,2021-11-26
561,2021-11-29
562,2021-11-30
563,2021-12-01
564,2021-12-02
565,2021-12-03
566,2021-12-06
567,2021-12-07
568,2021-12-08
569,2021-12-09
570,2021-12-10
571,2021-12-13
572,2021-12-14
573,2021-12-15
574,2021-12-16
575,2021-12-17
576,2021-12-20
577,2021-12-21
578,2021-12-22
579,2021-12-23
580,2021-12-27
581,2021-12-28
582,2021-12-29
583,2021-12-30
584,2021-12-31
585,2022-01-03
586,2022-01-04
587,2022-01-05
588,2022-01-06
589,2022-01-07
590,2022-01-10
591,2022-01-11
592,2022-01-12
593,2022-01-13
594,2022-01-14
595,2022-01-18
596,2022-01-19
597,2022-01-20
598,2022-01-21
599,2022-01-24
600,2022-01-25
601,2022-01-26
602,2022-01-27
603,2022-01-28
604,2022-01-31
605,2022-02-01
606,2022-02-02
607,2022-02-03
608,2022-02-04
609,2022-02-07
610,2022-02-08
611,2022-02-09
612,2022-02-10
613,2022-02-11
614,2022-02-14
615,2022-02-15
616,2022-02-16
617,2022-02-17
618,2022-02-18
619,2022-02-22
620,2022-02-23
621,2022-02-24
622,2022-02-25
623,2022-02-28
624,2022-03-01
625,2022-03-02
626,2022-03-03
627,2022-03-04
628,2022-03-07
629,2022-03-08
630,2022-03-09
631,2022-03-10
632,2022-03-11
633,2022-03-14
634,2022-03-15
635,2022-03-16
636,2022-03-17
637,2022-03-18
638,2022-03-21
639,2022-03-22
640,2022-03-23
641,2022-03-24
642,2022-03-25
643,2022-03-28
644,2022-03-29
645,2022-03-30
646,2022-03-31
647,2022-04-01
648,2022-04-04
649,2022-04-05
650,2022-04-06
651,2022-04-07
652,2022-04-08
653,2022-04-11
654,2022-04-12
655,2022-04-13
656,2022-04-14
657,2022-04-18
658,2022-04-19
659,2022-04-20
660,2022-04-21
661,2022-04-22
662,2022-04-25
663,2022-04-26
664,2022-04-27
665,2022-04-28
666,2022-04-29
667,2022-05-02
668,2022-05-03
669,2022-05-04
670,2022-05-05
671,2022-05-06
672,2022-05-09
673,2022-05-10
674,2022-05-11
675,2022-05-12
676,2022-05-13
677,2022-05-16
678,2022-05-17
679,2022-05-18
680,2022-05-19
681,2022-05-20
682,2022-05-23
683,2022-05-24
684,2022-05-25
685,2022-05-26
686,2022-05-27
687,2022-05-31
688,2022-06-01
689,2022-06-02
690,2022-06-03
691,2022-06-06
692,2022-06-07
693,2022-06-08
694,2022-06-09
695,2022-06-10
696,2022-06-13
697,2022-06-14
698,2022-06-15
699,2022-06-16
700,2022-06-17
701,2022-06-21
702,2022-06-22
703,2022-06-23
704,2022-06-24
705,2022-06-27
706,2022-06-28
707,2022-06-29
708,2022-06-30
709,2022-07-01
710,2022-07-05
711,2022-07-06
712,2022-07-07
713,2022-07-08
714,2022-07-11
715,2022-07-12
716,2022-07-13
717,2022-07-14
718,2022-07-15
719,2022-07-18
720,2022-07-19
721,2022-07-20
722,2022-07-21
723,2022-07-22
724,2022-07-25
725,2022-07-26
726,2022-07-27
727,2022-07-28
728,2022-07-29
729,2022-08-01
730,2022-08-02
731,2022-08-03
732,2022-08-04
733,2022-08-05
734,2022-08-08
735,2022-08-09
736,2022-08-10
737,2022-08-11
738,2022-08-12
739,2022-08-15
740,2022-08-16
741,2022-08-17
742,2022-08-18
743,2022-08-19
744,2022-08-22
745,2022-08-23
746,2022-08-24
747,2022-08-25
748,2022-08-26
749,2022-08-29
750,2022-08-30
